detailUrl,jobTitle,company,location,date
http://www.dice.com/job/result/10297662/467617?src=19,Junior Level Java JEE Software Engineer,HygenicsData LLC,"Broomfield, CO",2017-02-24
http://www.dice.com/job/result/10494552/821972?src=19,Senior Java Developer,Qwinix Technology Inc.,"Denver, CO",2017-02-24
http://www.dice.com/job/result/ngitbot/16030023?src=19,C2BMC M&S Software Engineer 3 (16-148) - OOD & OOP using C++ or JAVA on UNIX/Linux platform,NORTHROP GRUMMAN,"Colorado Springs, CO",2017-02-25
http://www.dice.com/job/result/10125386/888467?src=19,Sr Java Developer Lead,Syslogic,"Colorado Springs, CO",2017-02-24
http://www.dice.com/job/result/10195552/17-00815?src=19,Java Developer,Kaztronix,"Denver, CO",2017-02-25
http://www.dice.com/job/result/90803211/891486?src=19,Senior Cloud Java Engineer,"Dynamo, LLC","boulder, CO",2017-02-23
http://www.dice.com/job/result/90803211/891497?src=19,Senior Cloud Java Engineer,"Dynamo, LLC","denver, CO",2017-02-23
http://www.dice.com/job/result/10112773/875840?src=19,Java Engineer,Edgelink,"Lakewood, CO",2017-02-10
http://www.dice.com/job/result/10204742/JO170111053-173?src=19,Java Software Engineers (multiple positions),Strategic IT Staffing,"Denver Co, CO",2017-02-25
http://www.dice.com/job/result/10111360/3057688-28-MH17?src=19,Java Developer,Fahrenheit IT Staffing & Consulting,"Denver, CO",2017-02-25
http://www.dice.com/job/result/10111360/3052823-28-MH17?src=19,Java Developer,Fahrenheit IT,"Denver, CO",2017-02-25
http://www.dice.com/job/result/adcc/838762?src=19,Java Developer,Access Data Consulting Corp,"Denver, CO",2017-02-09
http://www.dice.com/job/result/10111360/3053982-28-MH17?src=19,"Senior Java Developer (Denver, CO)",Fahrenheit IT Staffing & Consulting,"Denver, CO",2017-02-25
http://www.dice.com/job/result/wgc/4468?src=19,Enterprise Java Architect,"StoneRiver, Inc.","Denver, CO",2017-02-25
http://www.dice.com/job/result/10111360/3048906-28-MH17?src=19,Java Developer,Fahrenheit IT Staffing & Consulting,"Broomfield, CO",2017-02-25
http://www.dice.com/job/result/10111360/3055363-28-MH17?src=19,Java Software Engineer,Fahrenheit IT Staffing & Consulting,"Denver, CO",2017-02-25
http://www.dice.com/job/result/DATANOM/19784?src=19,Java Developer,Datanomics,"Colorado Springs, CO",2017-02-17
http://www.dice.com/job/result/redoak/854502?src=19,Junior Java Developer,"Red Oak Technologies, Inc.","Denver, CO",2017-02-08
http://www.dice.com/job/result/RTX16fdb9/614552-917?src=19,Application Engineer- Java Developer,MicroPact Inc,"Englewood, CO",2017-02-25
http://www.dice.com/job/result/cxjudgpa/519022?src=19,Java Systems Architect,The Judge Group,"Denver, CO",2017-02-25
http://www.dice.com/job/result/inttech/17-00964cp?src=19,Java Developer w/AWS Admin exp.,INT Technologies,"Colorado Springs, CO",2017-02-24
http://www.dice.com/job/result/primusga/CorbaCO?src=19,"Corba, JMS, AWS, Jboss, Rest easy, JAX-RS, GIT, WebServices,Core Java",Primus Software Corp,"Colorado Springs, CO",2017-02-24
http://www.dice.com/job/result/xorca001/741343?src=19,Python/Java Software Developer,Xoriant Corporation,"Denver, CO",2017-02-24
http://www.dice.com/job/result/cybercod/ST2-1326110119?src=19,Back End Java Developer - OSGi (100% Remote),CyberCoders,"Boulder, CO",2017-02-25
http://www.dice.com/job/result/cybercod/HK2-134260336?src=19,"Java Architect - Java Bean, Reflection, Postgres, Linux",CyberCoders,"Boulder, CO",2017-02-25
